DATE,TB3MS
1984-12-01,8.06
1985-01-01,7.76
1985-02-01,8.27
1985-03-01,8.52
1985-04-01,7.95
1985-05-01,7.48
1985-06-01,6.95
1985-07-01,7.08
1985-08-01,7.14
1985-09-01,7.1
1985-10-01,7.16
1985-11-01,7.24
1985-12-01,7.1
1986-01-01,7.07
1986-02-01,7.06
1986-03-01,6.56
1986-04-01,6.06
1986-05-01,6.15
1986-06-01,6.21
1986-07-01,5.83
1986-08-01,5.53
1986-09-01,5.21
1986-10-01,5.18
1986-11-01,5.35
1986-12-01,5.53
1987-01-01,5.43
1987-02-01,5.59
1987-03-01,5.59
1987-04-01,5.64
1987-05-01,5.66
1987-06-01,5.67
1987-07-01,5.69
1987-08-01,6.04
1987-09-01,6.4
1987-10-01,6.13
1987-11-01,5.69
1987-12-01,5.77
1988-01-01,5.81
1988-02-01,5.66
1988-03-01,5.7
1988-04-01,5.91
1988-05-01,6.26
1988-06-01,6.46
1988-07-01,6.73
1988-08-01,7.06
1988-09-01,7.24
1988-10-01,7.35
1988-11-01,7.76
1988-12-01,8.07
1989-01-01,8.27
1989-02-01,8.53
1989-03-01,8.82
1989-04-01,8.65
1989-05-01,8.43
1989-06-01,8.15
1989-07-01,7.88
1989-08-01,7.9
1989-09-01,7.75
1989-10-01,7.64
1989-11-01,7.69
1989-12-01,7.63
1990-01-01,7.64
1990-02-01,7.74
1990-03-01,7.9
1990-04-01,7.77
1990-05-01,7.74
1990-06-01,7.73
1990-07-01,7.62
1990-08-01,7.45
1990-09-01,7.36
1990-10-01,7.17
1990-11-01,7.06
1990-12-01,6.74
1991-01-01,6.22
1991-02-01,5.94
1991-03-01,5.91
1991-04-01,5.65
1991-05-01,5.46
1991-06-01,5.57
1991-07-01,5.58
1991-08-01,5.33
1991-09-01,5.22
1991-10-01,4.99
1991-11-01,4.56
1991-12-01,4.07
1992-01-01,3.8
1992-02-01,3.84
1992-03-01,4.04
1992-04-01,3.75
1992-05-01,3.63
1992-06-01,3.66
1992-07-01,3.21
1992-08-01,3.13
1992-09-01,2.91
1992-10-01,2.86
1992-11-01,3.13
1992-12-01,3.22
1993-01-01,3.0
1993-02-01,2.93
1993-03-01,2.95
1993-04-01,2.87
1993-05-01,2.96
1993-06-01,3.07
1993-07-01,3.04
1993-08-01,3.02
1993-09-01,2.95
1993-10-01,3.02
1993-11-01,3.1
1993-12-01,3.06
1994-01-01,2.98
1994-02-01,3.25
1994-03-01,3.5
1994-04-01,3.68
1994-05-01,4.14
1994-06-01,4.14
1994-07-01,4.33
1994-08-01,4.48
1994-09-01,4.62
1994-10-01,4.95
1994-11-01,5.29
1994-12-01,5.6
1995-01-01,5.71
1995-02-01,5.77
1995-03-01,5.73
1995-04-01,5.65
1995-05-01,5.67
1995-06-01,5.47
1995-07-01,5.42
1995-08-01,5.4
1995-09-01,5.28
1995-10-01,5.28
1995-11-01,5.36
1995-12-01,5.14
1996-01-01,5.0
1996-02-01,4.83
1996-03-01,4.96
1996-04-01,4.95
1996-05-01,5.02
1996-06-01,5.09
1996-07-01,5.15
1996-08-01,5.05
1996-09-01,5.09
1996-10-01,4.99
1996-11-01,5.03
1996-12-01,4.91
1997-01-01,5.03
1997-02-01,5.01
1997-03-01,5.14
1997-04-01,5.16
1997-05-01,5.05
1997-06-01,4.93
1997-07-01,5.05
1997-08-01,5.14
1997-09-01,4.95
1997-10-01,4.97
1997-11-01,5.14
1997-12-01,5.16
1998-01-01,5.04
1998-02-01,5.09
1998-03-01,5.03
1998-04-01,4.95
1998-05-01,5.0
1998-06-01,4.98
1998-07-01,4.96
1998-08-01,4.9
1998-09-01,4.61
1998-10-01,3.96
1998-11-01,4.41
